UNIPROT,Category of binding
BYST,Cargo A
COPE,Cargo A
RL36A,Cargo A
RT16,Cargo A
SRP72,Cargo A
RS8,Cargo A
COPB,Cargo A
EIF3D,Cargo A
NXP20,Cargo A
RT11,Cargo A
IF4E2,Cargo A
NCBP1,Cargo A
CTR9,Cargo A
DECR2,Cargo A
LEO1,Cargo A
CC124,Cargo A
SC31B,Cargo A
IF2A,Cargo A
RL7A,Cargo A
COPD,Cargo A
COPG1,Cargo A
RL24,Cargo A
SEC13,Cargo A
HOME2,Cargo A
DDX42,Cargo A
RL8,Cargo A
COPZ1,Cargo A
RL35,Cargo A
RL17,Cargo A
RS2,Cargo A
SGT1,Cargo A
DHE3,Cargo A
RT29,Cargo A
ZAR1,Cargo A
EIF3I,Cargo A
CSDE1,Cargo A
SNX9,Cargo A
ZO2,Cargo A
RUVB2,Cargo A
RS3A,Cargo A
RL23A,Cargo A
RL5,Cargo A
ERF3A,Cargo A
PWP1,Cargo A
RL36,Cargo A
ELP5,Cargo A
GAPD1,Cargo A
RUVB1,Cargo A
RS18,Cargo A
RS11,Cargo A
RL10,Cargo A
RL9,Cargo A
RL3,Cargo A
COPA,Cargo A
HABP4,Cargo A
EIF3L,Cargo A
MB12A,Cargo A
ELP6,Cargo A
RS23,Cargo A
RS4X,Cargo A
RL7,Cargo A
RS10,Cargo A
DRG2,Cargo A
RL13A,Cargo A
RL19,Cargo A
EIF3E,Cargo A
FA98A,Cargo A
RT10,Cargo A
PIHD1,Cargo A
NPM,Cargo A
GPN2,Cargo A
USP9X,Cargo A
ELP3,Cargo A
SRPK1,Cargo A
IF4G3,Cargo A
RS14,Cargo A
RL21,Cargo A
RL28,Cargo A
RL32,Cargo A
EI2BA,Cargo A
RPB2,Cargo A
GPN1,Cargo A
EFHD1,Cargo A
SRP68,Cargo A
SRP19,Cargo A
NOP56,Cargo A
RPB3,Cargo A
NMD3,Cargo A
TBL1R,Cargo A
UBR4,Cargo A
RL34,Cargo A
RTCB,Cargo A
MACD2,Cargo A
EIF3G,Cargo A
IF4B,Cargo A
RS25,Cargo A
DYL1,Cargo A
RS9,Cargo A
RL38,Cargo A
TOE1,Cargo A
RL6,Cargo A
RS19,Cargo A
RPAP1,Cargo A
CN166,Cargo A
TSC2,Cargo A
GYS1,Cargo A
RL13,Cargo A
RL18A,Cargo A
OSCP1,Cargo A
RS13,Cargo A
NFS1,Cargo A
LSM4,Cargo A
EIFCL,Cargo A
PP4C,Cargo A
ERF1,Cargo A
RS7,Cargo A
EIF3B,Cargo A
RS3,Cargo A
RL14,Cargo A
LSM1,Cargo A
RS12,Cargo A
EIF3H,Cargo A
RL12,Cargo A
EIF3M,Cargo A
EIF3F,Cargo A
RL11,Cargo A
RL18,Cargo A
WDR61,Cargo A
RS16,Cargo A
THUM3,Cargo A
RL27,Cargo A
STAU1,Cargo A
RL10A,Cargo A
RS17,Cargo A
UBE2O,Cargo A
RL22,Cargo A
NP1L4,Cargo A
RL23,Cargo A
PDCD4,Cargo A
EIF3A,Cargo A
RPAB1,Cargo A
RL37A,Cargo A
NCBP2,Cargo A
G3BP2,Cargo A
RL4,Cargo A
PA2G4,Cargo A
GBLP,Cargo A
ILF2,Cargo A
RM12,Cargo A
RS5,Cargo A
RL31,Cargo A
RL30,Cargo A
CDV3,Cargo A
SNX2,Cargo A
APOB,Cargo A
HNRPQ,Cargo A
SYSC,Cargo A
RS27,Cargo A
RL15,Cargo A
RL35A,Cargo A
EIF3K,Cargo A
LSM7,Cargo A
RFC4,Cargo A
RU2A,Cargo A
PABP2,Cargo A
RS15A,Cargo A
RL26,Cargo A
STRAP,Cargo A
EIF3J,Cargo A
WDR54,Cargo A
RL27A,Cargo A
GTPB6,Cargo A
WDHD1,Cargo A
DENR,Cargo A
XPA,Cargo A
F122A,Cargo A
CPEB3,Cargo A
SPAS2,Cargo A
SMAP1,Cargo A
CEP85,Cargo A
TRI62,Cargo A
NEDD1,Cargo A
PEX5,Cargo A
GCP3,Cargo A
RAGP1,Cargo A
PUM1,Cargo A
YTHD2,Cargo A
RN146,Cargo A
K1C18,Cargo A
SHRPN,Cargo A
AKTS1,Cargo A
FIP1,Cargo A
KDM3B,Cargo A
CF106,Cargo A
EPN1,Cargo A
GCP2,Cargo A
K2C8,Cargo A
CPSF2,Cargo A
SPN1,Cargo A
SC23B,Cargo B
RPTOR,Cargo B
TBG1,Cargo B
PIWL1,Cargo B
LAR4B,Cargo B
NEK1,Cargo B
CKAP5,Cargo B
ZAR1L,Cargo B
GORS2,Cargo B
VIME,Cargo B
PATL2,Cargo B
ETUD1,Cargo B
LS14B,Cargo B
MYEF2,Cargo B
IF4E,Cargo B
DDX6,Cargo B
H2A1A,Cargo B
RSSA,Cargo B
DCAF8,Cargo B
IF2B3,Cargo B
LSM3,Cargo B
VTA1,Cargo B
DPOD1,Cargo B
RS20,Cargo B
RLA0,Cargo B
DPCD,Cargo B
SYTC,Cargo B
BUB3,Cargo B
RFC3,Cargo B
CDK1,Cargo B
SMN,Cargo B
CAB39,Cargo B
RPAB3,Cargo B
SRSF1,Cargo B
NP1L1,Cargo B
RPAC1,Cargo B
MCTS1,Cargo B
ACL6A,Cargo B
GCN1L,Cargo B
HAP28,Cargo B
PRP19,Cargo B
TS101,Cargo B
RSMN,Cargo B
IDH3B,Cargo B
IF1AX,Cargo B
ARC1B,Cargo B
PPP5,Cargo B
TSSC4,Cargo B
KLDC4,Cargo B
SRC8,Cargo B
GANAB,Cargo B
IST1,Cargo B
LRC47,Cargo B
RFC2,Cargo B
SKP1,Cargo B
SPT5H,Cargo B
IF4A3,Cargo B
GRL1A,Cargo B
ARRB2,Cargo B
RT06,Cargo B
HIC2,Cargo B
PAR15,Cargo B
RIMKB,Cargo B
CJ088,Cargo B
EDC3,Cargo B
TGS1,Cargo B
WDR5,Cargo B
FMR1,Cargo B
TMED8,Cargo B
AP1S1,Cargo B
SNX18,Cargo B
DKC1,Cargo B
LARP7,Cargo B
REL,Cargo B
SNP29,Cargo B
HAUS2,Cargo B
SC24D,Cargo B
DHX35,Cargo B
PININ,Cargo B
DDX27,Cargo B
NAF1,Cargo B
ARAF,Cargo B
RC3H1,Cargo B
DYL2,Cargo B
ANKZ1,Cargo B
UBF1,Cargo B
RCD1,Cargo B
MTOR,Cargo B
WBP11,Cargo B
HAUS5,Cargo B
ASCC3,Cargo B
PERQ2,Cargo B
CDC16,Cargo B
ELL2,Cargo B
NOP58,Cargo B
APC4,Cargo B
VPRBP,Cargo B
MPIP3,Cargo B
MAGI1,Cargo B
PACS1,Cargo B
RPB1,Cargo B
AP2B1,Cargo B
ARHG7,Cargo B
C1TM,Cargo B
EIF2D,Cargo B
SC24A,Cargo B
SNX8,Cargo B
DUS12,Cargo B
MAST2,Cargo B
PDCL3,Cargo B
BRCC3,Cargo B
ZO1,Cargo B
SRSF3,Cargo B
STAU2,Cargo B
FKBPL,Cargo B
Z3H7A,Cargo B
PTH,Cargo B
HDAC6,Cargo B
RIOK3,Cargo B
SMAG2,Cargo B
APC7,Cargo B
RFIP1,Cargo B
LMBL2,Cargo B
MPP10,Cargo B
UXT,Cargo B
GPAM1,Cargo B
MET15,Cargo B
P2R3B,Cargo B
SC24B,Cargo B
IMP3,Cargo B
DOK1,Cargo B
PEX19,Cargo B
ZNHI3,Cargo B
RNPS1,Cargo B
RM40,Cargo B
RLA2,Cargo B
RBM14,Cargo B
DMAP1,Cargo B
RBMS1,Cargo B
DECR,Cargo B
SFPQ,Cargo B
BORG5,Cargo B
ANC2,Cargo B
CIP2A,Cargo B
HAUS4,Cargo B
ARP6,Cargo B
CYH2,Cargo B
YTHD3,Cargo B
TTC31,Cargo B
PP13G,Cargo B
WDR48,Cargo B
SMG8,Cargo B
RPF2,Cargo B
MKRN1,Cargo B
DCP1B,Cargo B
LIMK2,Cargo B
PECR,Cargo B
SARG,Cargo B
GCP5,Cargo B
TGFI1,Cargo B
HAUS3,Cargo B
R3HCL,Cargo B
CECR2,Cargo B
PAR6G,Cargo B
TFDP2,Cargo B
TOP3B,Cargo B
CEP55,Cargo B
IRF7,Cargo B
NOG1,Cargo B
CNO11,Cargo B
PRC2A,Cargo B
TB10B,Cargo B
PUM2,Cargo B
RFIP5,Cargo B
FOXK2,Cargo B
ANGE1,Cargo B
CRY1,Cargo B
PAI2B,Cargo B
TBC19,Cargo B
CDYL1,Cargo B
FBX15,Cargo B
SMU1,Cargo B
SIL1,Cargo B
AURKB,Cargo B
AGAP1,Cargo B
KPCD1,Cargo B
NUFP1,Cargo B
GWL,Cargo B
NOBOX,Cargo B
ZN326,Cargo B
NICN1,Cargo B
RING2,Cargo B
CRTC1,Cargo B
P33MX,Cargo B
WDR82,Cargo B
MFR1L,Cargo B
KDM6A,Cargo B
IRF6,Cargo B
SRS12,Cargo B
FA98B,Cargo B
YJ005,Cargo B
TDRD3,Cargo B
U3IP2,Cargo B
PLK1,Cargo B
TF2H2,Cargo B
P2R3C,Cargo B
NDK7,Cargo B
LARP6,Cargo B
ZN622,Cargo B
RED,Cargo B
GAB1,Cargo B
EMC2,Cargo B
PICK1,Cargo B
YETS4,Cargo B
ASHWN,Cargo B
TBD2B,Cargo B
MK67I,Cargo B
TCF25,Cargo B
AIM1,Cargo B
ARFG2,Cargo B
PXK,Cargo B
SRS10,Cargo B
RPA49,Cargo B
CHM4C,Cargo B
NONO,Cargo B
METL6,Cargo B
RCL1,Cargo B
SMAG1,Cargo B
HAUS6,Cargo B
AP1S2,Cargo B
NCOA5,Cargo B
CUED2,Cargo B
TBB2A,Cargo B
CBPC1,Cargo B
CO052,Cargo B
ASTE1,Cargo B
ERCC3,Cargo B
TF2H3,Cargo B
GCP6,Cargo B
CCHCR,Cargo B
KPCI,Cargo B
ERCC2,Cargo B
SLU7,Cargo B
MTMR2,Cargo B
NOA1,Cargo B
CCD50,Cargo B
RBM33,Cargo B
FYV1,Cargo B
KDM3A,Cargo B
M10L1,Cargo B
UT14A,Cargo B
MIPEP,Cargo B
RUFY3,Cargo B
F120A,Cargo B
CDC5L,Cargo B
DDX3Y,Cargo B
WWC2,Cargo B
IRAK1,Cargo B
CNOT1,Cargo B
ZN598,Cargo B
DJC21,Cargo B
SMG1,Cargo B
K1C19,Cargo B
DVL2,Cargo B
YTHD1,Cargo B
UBP47,Cargo B
4ET,Cargo B
PABP1,Cargo B
CDK12,Low Abundant Cargo
GANP,Low Abundant Cargo
HLTF,Low Abundant Cargo
ACSL1,Low Abundant Cargo
APC,Low Abundant Cargo
SAP18,Low Abundant Cargo
RBM34,Low Abundant Cargo
AP2M1,Low Abundant Cargo
SDA1,Low Abundant Cargo
NAA30,Low Abundant Cargo
MK07,Low Abundant Cargo
TRA2B,Low Abundant Cargo
CR025,Low Abundant Cargo
IKBA,Low Abundant Cargo
PPR1B,Low Abundant Cargo
TBCC1,Low Abundant Cargo
SMAD4,Low Abundant Cargo
GNL3,Low Abundant Cargo
WDR83,Low Abundant Cargo
NFKB2,Low Abundant Cargo
RMTL1,Low Abundant Cargo
NOL7,Low Abundant Cargo
ACSL4,Low Abundant Cargo
EMIL2,Low Abundant Cargo
RPB9,Low Abundant Cargo
EAF2,Low Abundant Cargo
WDR20,Low Abundant Cargo
F175A,Low Abundant Cargo
GRIP1,Low Abundant Cargo
SPAT2,Low Abundant Cargo
YAP1,Low Abundant Cargo
RM38,Low Abundant Cargo
T2EB,Low Abundant Cargo
EXD1,Low Abundant Cargo
WRIP1,Low Abundant Cargo
ROGDI,Low Abundant Cargo
TJAP1,Low Abundant Cargo
CCD12,Low Abundant Cargo
HAUS7,Low Abundant Cargo
TF2H4,Low Abundant Cargo
E2F6,Low Abundant Cargo
SFSWA,Low Abundant Cargo
CQ053,Low Abundant Cargo
CARF,Low Abundant Cargo
DDX17,Low Abundant Cargo
CH037,Low Abundant Cargo
CDC27,Low Abundant Cargo
ZN346,Low Abundant Cargo
ARI3A,Low Abundant Cargo
AAK1,Low Abundant Cargo
CHMP7,Low Abundant Cargo
RRS1,Low Abundant Cargo
PTCD1,Low Abundant Cargo
SRFB1,Low Abundant Cargo
TSR1,Low Abundant Cargo
NAT10,Low Abundant Cargo
ZC3HE,Low Abundant Cargo
ELYS,Low Abundant Cargo
F207A,Low Abundant Cargo
CNKR2,Low Abundant Cargo
C170B,Low Abundant Cargo
TF2H1,Low Abundant Cargo
RPGF6,Low Abundant Cargo
RBM42,Low Abundant Cargo
OTUD3,Low Abundant Cargo
GPTC1,Low Abundant Cargo
PAK4,Low Abundant Cargo
CEP78,Low Abundant Cargo
RCOR2,Low Abundant Cargo
IFIT5,Low Abundant Cargo
SUGP2,Low Abundant Cargo
F120C,Low Abundant Cargo
DND1,Low Abundant Cargo
DNJB6,Low Abundant Cargo
RECQ5,Low Abundant Cargo
DDX47,Low Abundant Cargo
ESPL1,Low Abundant Cargo
WDR36,Low Abundant Cargo
PRP18,Low Abundant Cargo
SPAT5,Low Abundant Cargo
FABD,Low Abundant Cargo
DDX56,Low Abundant Cargo
NUMB,Low Abundant Cargo
EBP2,Low Abundant Cargo
EWS,Low Abundant Cargo
SMRD2,Low Abundant Cargo
SWAHA,Low Abundant Cargo
NAA35,Low Abundant Cargo
LARP4,Low Abundant Cargo
DDX5,Low Abundant Cargo
YAED1,Low Abundant Cargo
UBP46,Low Abundant Cargo
ASH2L,Low Abundant Cargo
HM20B,Low Abundant Cargo
SCAI,Low Abundant Cargo
P3C2G,Low Abundant Cargo
ZCH18,Low Abundant Cargo
PP4R4,Low Abundant Cargo
MTMR8,Low Abundant Cargo
PDLI4,Low Abundant Cargo
RBM27,Low Abundant Cargo
TBC30,Low Abundant Cargo
STAT2,Low Abundant Cargo
TFB1M,Low Abundant Cargo
WBS22,Low Abundant Cargo
MBTD1,Low Abundant Cargo
APTX,Low Abundant Cargo
CRTC3,Low Abundant Cargo
CNO10,Low Abundant Cargo
FBLI1,Low Abundant Cargo
BIVM,Low Abundant Cargo
ECHP,Low Abundant Cargo
NEK4,Low Abundant Cargo
KLH22,Low Abundant Cargo
MLXIP,Low Abundant Cargo
NED4L,Low Abundant Cargo
RNF10,Low Abundant Cargo
LRCH3,Low Abundant Cargo
RECQ1,Low Abundant Cargo
WDR3,Low Abundant Cargo
CTNL1,Low Abundant Cargo
SNX24,Low Abundant Cargo
BRCA1,Low Abundant Cargo
MTMRA,Low Abundant Cargo
MIO,Low Abundant Cargo
DEPD7,Low Abundant Cargo
NDUS2,Low Abundant Cargo
FANCL,Low Abundant Cargo
GNPAT,Low Abundant Cargo
FAK1,Low Abundant Cargo
NOP2,Low Abundant Cargo
EHBP1,Low Abundant Cargo
MTMR5,Low Abundant Cargo
MAP7,Low Abundant Cargo
AP1M2,Low Abundant Cargo
CAMP3,Low Abundant Cargo
DIM1,Low Abundant Cargo
IFT80,Low Abundant Cargo
TTP,Low Abundant Cargo
ANR54,Low Abundant Cargo
LRCH1,Low Abundant Cargo
IFT57,Low Abundant Cargo
CENPT,Low Abundant Cargo
TRI33,Low Abundant Cargo
E9PL24,Low Abundant Cargo
RUSD4,Low Abundant Cargo
F117B,Low Abundant Cargo
DCAF7,Low Abundant Cargo
COIL,Low Abundant Cargo
NFAC3,Low Abundant Cargo
WDTC1,Low Abundant Cargo
PP6R2,Low Abundant Cargo
WDR89,Low Abundant Cargo
MERL,Low Abundant Cargo
IMPCT,Low Abundant Cargo
SNUT2,Low Abundant Cargo
DMD,Low Abundant Cargo
RECQ4,Low Abundant Cargo
TRI37,Low Abundant Cargo
EHMT2,Low Abundant Cargo
SRCAP,Low Abundant Cargo
RBM22,Low Abundant Cargo
BRD2,Low Abundant Cargo
LINES,Low Abundant Cargo
QSER1,Low Abundant Cargo
RBBP5,Low Abundant Cargo
RMI1,Low Abundant Cargo
RBM4B,Low Abundant Cargo
UCKL1,Low Abundant Cargo
CNOT4,Low Abundant Cargo
EP15R,Low Abundant Cargo
NCOA2,Low Abundant Cargo
THOC4,Low Abundant Cargo
SOS2,Low Abundant Cargo
KEAP1,Low Abundant Cargo
ZSWM8,Low Abundant Cargo
UIMC1,Low Abundant Cargo
FXL19,Low Abundant Cargo
LRCH2,Low Abundant Cargo
LSG1,Low Abundant Cargo
BL1S5,Low Abundant Cargo
SDE2,Low Abundant Cargo
NFX1,Low Abundant Cargo
SALL4,Low Abundant Cargo
ZN217,Low Abundant Cargo
SHAN1,Low Abundant Cargo
TBL3,Low Abundant Cargo
CCM2,Low Abundant Cargo
SC16A,Low Abundant Cargo
SP1,Low Abundant Cargo
IQEC2,Low Abundant Cargo
P2R3A,Low Abundant Cargo
F8W0Q9,Low Abundant Cargo
DCP1A,Low Abundant Cargo
MCM8,Low Abundant Cargo
VRK1,Low Abundant Cargo
DCA11,Low Abundant Cargo
DDX18,Low Abundant Cargo
SHRM3,Low Abundant Cargo
TBE,Low Abundant Cargo
M3K15,Low Abundant Cargo
FRITZ,Low Abundant Cargo
MA7D2,Low Abundant Cargo
B4DZ24,Low Abundant Cargo
SRRM2,Low Abundant Cargo
ANK3,Low Abundant Cargo
LONF1,Low Abundant Cargo
GAK,Low Abundant Cargo
SC31A,Low Abundant Cargo
IRS2,Low Abundant Cargo
PR40A,Low Abundant Cargo
URP2,Low Abundant Cargo
K0556,Low Abundant Cargo
DMXL1,Low Abundant Cargo
FA83G,Low Abundant Cargo
EMSA1,Low Abundant Cargo
DDX55,Low Abundant Cargo
CCAR1,Low Abundant Cargo
TAOK1,Low Abundant Cargo
SETX,Low Abundant Cargo
TBD,Low Abundant Cargo
HIRA,Low Abundant Cargo
ZN638,Low Abundant Cargo
3BP5,Low Abundant Cargo
NOC3L,Low Abundant Cargo
RRP1,Low Abundant Cargo
ITSN2,Low Abundant Cargo
RFWD2,Low Abundant Cargo
TTLL1,Low Abundant Cargo
MPP8,Low Abundant Cargo
SRBD1,Low Abundant Cargo
BTBDI,Low Abundant Cargo
FIBP,Low Abundant Cargo
PF21A,Low Abundant Cargo
ERI1,Low Abundant Cargo
ARAP1,Low Abundant Cargo
KI16B,Low Abundant Cargo
GCDH,Low Abundant Cargo
DDX10,Low Abundant Cargo
NSUN4,Low Abundant Cargo
BRWD1,Low Abundant Cargo
BRD7,Low Abundant Cargo
IRS1,Low Abundant Cargo
CHD7,Low Abundant Cargo
RIOK1,Low Abundant Cargo
PKP3,Low Abundant Cargo
MFAP1,Low Abundant Cargo
FUBP3,Low Abundant Cargo
NXF1,Low Abundant Cargo
WIZ,Low Abundant Cargo
MGAP,Low Abundant Cargo
DAXX,Low Abundant Cargo
EHMT1,Low Abundant Cargo
TAF6,Low Abundant Cargo
MELK,Low Abundant Cargo
CP131,Low Abundant Cargo
FIG4,Low Abundant Cargo
UTP18,Low Abundant Cargo
SPE39,Low Abundant Cargo
FAN1,Low Abundant Cargo
K1671,Low Abundant Cargo
GNL3L,Low Abundant Cargo
AAKG1,Low Abundant Cargo
MLH1,Low Abundant Cargo
TENS1,Low Abundant Cargo
MUS81,Low Abundant Cargo
SMC6,Low Abundant Cargo
TAF2,Low Abundant Cargo
CE350,Ambiguous
WAPL,Ambiguous
TOP2A,Ambiguous
SNUT1,Ambiguous
SBP2L,Ambiguous
DIP2B,Ambiguous
RHG05,Ambiguous
ATX2,Ambiguous
PAXI1,Ambiguous
CENPE,Ambiguous
SLIP,Ambiguous
MADD,Ambiguous
DEN6A,Ambiguous
DNAI1,Ambiguous
MCE1,Ambiguous
PATL1,Ambiguous
MAST4,Ambiguous
KIF1C,Ambiguous
KDM1A,Ambiguous
SMBP2,Ambiguous
TFP11,Ambiguous
RPGF2,Ambiguous
GCFC2,Ambiguous
MARF1,Ambiguous
MTMR3,Ambiguous
CE192,Ambiguous
MTUS1,Ambiguous
CWC22,Ambiguous
DIEXF,Ambiguous
SMG7,Ambiguous
TRAD1,Ambiguous
BCL9,Ambiguous
MKL1,Ambiguous
C19L2,Ambiguous
CE162,Ambiguous
SLTM,Ambiguous
PERQ1,Ambiguous
TRIPC,Ambiguous
PRC2C,Ambiguous
PARD3,Ambiguous
SIK3,Ambiguous
PAIRB,Ambiguous
ANR52,Ambiguous
BCD1,Ambiguous
SETB1,Ambiguous
LPIN1,Ambiguous
NAA25,Ambiguous
GTPBA,Ambiguous
LRRK1,Ambiguous
SRSF9,Ambiguous
CB044,Ambiguous
CQ085,Ambiguous
BRX1,Ambiguous
ANR17,Ambiguous
NDUF4,Ambiguous
KNOP1,Ambiguous
XRN2,Ambiguous
RAD17,Ambiguous
MAT1,Ambiguous
UBR5,Ambiguous
GIT2,Ambiguous
PRPF3,Ambiguous
CCNK,Ambiguous
CHD8,Ambiguous
P3C2A,Ambiguous
JIP4,Ambiguous
STK36,Ambiguous
KPRA,Ambiguous
PESC,Ambiguous
KC1A,Ambiguous
SKA1,Ambiguous
SNX31,Ambiguous
SSH1,Ambiguous
MET17,Ambiguous
TAXB1,Ambiguous
AFAD,Ambiguous
ZN839,Ambiguous
T2FA,Ambiguous
ZFP91,Ambiguous
HTR5B,Ambiguous
ZFR,Ambiguous
CND2,Ambiguous
RPA2,Ambiguous
ANKH1,Ambiguous
IFT74,Ambiguous
AGAP3,Ambiguous
SPT4H,Ambiguous
SNF5,Ambiguous
PHAR4,Ambiguous
KDM2A,Ambiguous
RU17,Ambiguous
CHERP,Ambiguous
APC1,Ambiguous
RM47,Ambiguous
PLRG1,Ambiguous
ATAD2,Ambiguous
SMCE1,Ambiguous
PPOX,Ambiguous
RBMX,Ambiguous
PPIL2,Ambiguous
TRAF6,Ambiguous
ICA69,Ambiguous
FNBP4,Ambiguous
LSM6,Ambiguous
PRP6,Ambiguous
SMG5,Ambiguous
MINK1,Ambiguous
GIT1,Ambiguous
RHG12,Ambiguous
RS29,Ambiguous
DEN5B,Ambiguous
MRE11,Ambiguous
SRGP2,Ambiguous
VAC14,Ambiguous
LSM12,Ambiguous
DDX23,Ambiguous
ANLN,Ambiguous
GUF1,Ambiguous
WDR7,Ambiguous
CLPB,Ambiguous
CD123,Ambiguous
SSBP,Ambiguous
BRE,Ambiguous
CTRO,Ambiguous
CLP1,Ambiguous
EPS8,Ambiguous
TDRD6,Ambiguous
OXR1,Ambiguous
PCGF6,Ambiguous
WASH7,Ambiguous
XRN1,Ambiguous
KAP0,Ambiguous
ATPG,Ambiguous
MYO3B,Ambiguous
CETN2,Ambiguous
RM04,Ambiguous
EXOSX,Ambiguous
DDX41,Ambiguous
ECT2,Ambiguous
CAPR2,Ambiguous
MIME,Ambiguous
STRUM,Ambiguous
AKA7G,Ambiguous
ATRX,Ambiguous
FBW1A,Ambiguous
RPC5,Ambiguous
RANB9,Ambiguous
LMO7,Ambiguous
